Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Consortium,Northern Mountains Region,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,260,26.45,55016.00,Postsecondary non-degree award,None,None
Consortium,Northern Mountains Region,2014-2024,333051,Police and Sheriff's Patrol Officers,250,45.88,95427.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,399011,Childcare Workers,250,10.90,22669.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,250,18.37,38211.00,High school diploma or equivalent,<5 years,None
Consortium,Northern Mountains Region,2014-2024,319092,Medical Assistants,240,16.21,33723.00,Postsecondary non-degree award,None,None
Consortium,Northern Mountains Region,2014-2024,472061,Construction Laborers,240,17.71,36834.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,399032,Recreation Workers,230,14.08,29277.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",230,15.62,32471.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",230,11.16,23204.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,434051,Customer Service Representatives,210,17.00,35357.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,352021,Food Preparation Workers,200,11.32,23536.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,359021,Dishwashers,200,10.67,22189.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,200,22.88,47606.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,472031,Carpenters,4170,30.12,62640.00,High school diploma or equivalent,None,Apprenticeship
Consortium,Northern Mountains Region,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,190,20.44,42512.00,Postsecondary non-degree award,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,353011,Bartenders,180,9.65,20068.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,434171,Receptionists and Information Clerks,180,12.85,26730.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,412021,Counter and Rental Clerks,170,11.70,24331.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,493023,Automotive Service Technicians and Mechanics,170,18.44,38350.00,Postsecondary non-degree award,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,132011,Accountants and Auditors,160,29.32,60971.00,Bachelor's degree,None,None
Consortium,Northern Mountains Region,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",160,9.71,20191.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,393091,Amusement and Recreation Attendants,160,10.57,21986.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,352011,"Cooks, Fast Food",150,9.52,19813.00,No formal educational credential,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,399031,Fitness Trainers and Aerobics Instructors,150,22.97,47775.00,High school diploma or equivalent,None,Short-term on-the-job training
Consortium,Northern Mountains Region,2014-2024,252011,"Preschool Teachers, Except Special Education",140,15.72,32707.00,Associate's degree,None,None
Consortium,Northern Mountains Region,2014-2024,319091,Dental Assistants,140,17.48,36364.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,412011,Cashiers,12230,11.37,23644.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,399021,Personal Care Aides,11380,11.20,23291.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",11090,9.79,20364.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,353031,Waiters and Waitresses,10540,10.88,22638.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,412031,Retail Salespersons,10380,11.67,24261.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,291141,Registered Nurses,9190,62.63,130271.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,111021,General and Operations Managers,7440,55.90,116263.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",6810,14.56,30277.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,439061,"Office Clerks, General",6170,18.87,39245.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,435081,Stock Clerks and Order Fillers,6080,12.03,25031.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,151132,"Software Developers, Applications",4940,59.06,122845.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,352014,"Cooks, Restaurant",4830,11.40,23719.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,434051,Customer Service Representatives,4520,20.40,42418.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4380,15.04,31296.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,472061,Construction Laborers,4210,22.69,47191.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,311014,Nursing Assistants,4160,16.01,33294.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,132011,Accountants and Auditors,4130,37.80,78634.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",3980,10.71,22261.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,311014,Nursing Assistants,3280,13.64,28379.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,352021,Food Preparation Workers,3710,10.96,22801.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,151121,Computer Systems Analysts,3460,44.76,93090.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,252021,"Elementary School Teachers, Except Special Education",3360,,75894.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,3100,29.62,61595.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,259041,Teacher Assistants,3090,,32220.00,"Some college, no degree",None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,151133,"Software Developers, Systems Software",2980,59.45,123657.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,319092,Medical Assistants,2920,21.41,44552.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,339032,Security Guards,2910,14.03,29195.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,2860,15.10,31408.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,131111,Management Analysts,2850,43.71,90914.00,Bachelor's degree,<5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2830,28.12,58498.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2830,20.92,43513.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,359021,Dishwashers,2630,9.80,20385.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,372012,Maids and Housekeeping Cleaners,2630,14.47,30103.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,434171,Receptionists and Information Clerks,2620,16.36,34037.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,373011,Landscaping and Groundskeeping Workers,2610,14.09,29307.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,499071,"Maintenance and Repair Workers, General",2510,19.60,40767.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,131161,Market Research Analysts and Marketing Specialists,2410,39.43,82011.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,272022,Coaches and Scouts,2390,,30394.00,Bachelor's degree,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2380,,74281.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,2370,19.25,40040.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,399011,Childcare Workers,2360,12.40,25789.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,113031,Financial Managers,2310,66.61,138551.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,472141,"Painters, Construction and Maintenance",2270,23.89,49691.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,512092,Team Assemblers,2240,17.16,35696.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2230,9.64,20048.00,No formal educational credential,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,353011,Bartenders,2200,12.50,25993.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,2130,10.17,21139.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,2110,28.73,59754.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,533033,Light Truck or Delivery Services Drivers,2050,17.16,35686.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oakland-Hayward-Berkeley MD,2014-2024,472111,Electricians,1940,38.54,80163.00,High school diploma or equivalent,None,Apprenticeship
County,Orange County,2014-2024,412031,Retail Salespersons,19870,11.15,23199.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",19000,9.55,19875.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,412011,Cashiers,18560,9.90,20581.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,353031,Waiters and Waitresses,18490,10.54,21935.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",11910,11.24,23359.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,399021,Personal Care Aides,9880,10.83,22516.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,434051,Customer Service Representatives,9520,18.39,38253.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,439061,"Office Clerks, General",9440,16.11,33494.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,435081,Stock Clerks and Order Fillers,9150,11.75,24438.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,291141,Registered Nurses,8130,43.20,89843.00,Bachelor's degree,None,None
County,Orange County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8070,11.13,23148.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,132011,Accountants and Auditors,7540,33.98,70673.00,Bachelor's degree,None,None
County,Orange County,2014-2024,352014,"Cooks, Restaurant",6960,11.84,24637.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Orange County,2014-2024,472061,Construction Laborers,6030,16.13,33551.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,373011,Landscaping and Groundskeeping Workers,5880,11.66,24239.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,5610,28.68,59651.00,High school diploma or equivalent,<5 years,None
County,Orange County,2014-2024,353011,Bartenders,2980,11.49,23903.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",5300,26.25,54597.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Orange County,2014-2024,352021,Food Preparation Workers,5220,10.21,21231.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,4840,9.66,20079.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,499071,"Maintenance and Repair Workers, General",4740,18.80,39099.00,High school diploma or equivalent,None,Long-term on-the-job training
County,Orange County,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",4730,10.52,21894.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,472031,Carpenters,4650,23.85,49620.00,High school diploma or equivalent,None,Apprenticeship
County,Orange County,2014-2024,393091,Amusement and Recreation Attendants,4630,9.60,19956.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,131111,Management Analysts,4510,44.69,92951.00,Bachelor's degree,<5 years,None
County,Orange County,2014-2024,259041,Teacher Assistants,4490,,34767.00,"Some college, no degree",None,None
County,Orange County,2014-2024,434171,Receptionists and Information Clerks,4490,14.38,29912.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,359021,Dishwashers,4460,9.89,20578.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,512092,Team Assemblers,4240,12.60,26192.00,High school diploma or equivalent,None,Moderate-term on-the-job training
County,Orange County,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4190,18.81,39112.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,4150,15.15,31510.00,High school diploma or equivalent,<5 years,None
County,Orange County,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",4110,9.66,20079.00,No formal educational credential,None,None
County,Orange County,2014-2024,372012,Maids and Housekeeping Cleaners,4070,10.98,22842.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,131161,Market Research Analysts and Marketing Specialists,3820,32.49,67582.00,Bachelor's degree,None,None
County,Orange County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,3800,18.66,38807.00,High school diploma or equivalent,<5 years,None
County,Orange County,2014-2024,151132,"Software Developers, Applications",3720,51.52,107151.00,Bachelor's degree,None,None
County,Orange County,2014-2024,252021,"Elementary School Teachers, Except Special Education",3530,,80743.00,Bachelor's degree,None,Internship/Residency
County,Orange County,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,3430,24.14,50228.00,Postsecondary non-degree award,None,None
County,Orange County,2014-2024,472111,Electricians,3270,25.45,52934.00,High school diploma or equivalent,None,Apprenticeship
County,Orange County,2014-2024,339032,Security Guards,3260,11.34,23587.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,472141,"Painters, Construction and Maintenance",3230,18.92,39334.00,No formal educational credential,None,Moderate-term on-the-job training
County,Orange County,2014-2024,113031,Financial Managers,3200,62.68,130364.00,Bachelor's degree,≥5 years,None
County,Orange County,2014-2024,537061,Cleaners of Vehicles and Equipment,3170,10.94,22758.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,537064,"Packers and Packagers, Hand",3030,10.57,21994.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,399011,Childcare Workers,3000,12.71,26421.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Orange County,2014-2024,112022,Sales Managers,2900,56.09,116672.00,Bachelor's degree,<5 years,None
County,Orange County,2014-2024,352011,"Cooks, Fast Food",2840,9.70,20170.00,No formal educational credential,None,Short-term on-the-job training
County,Orange County,2014-2024,412021,Counter and Rental Clerks,2840,13.81,28729.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",6960,10.03,20856.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,412031,Retail Salespersons,6100,10.99,22845.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",4880,9.58,19915.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,412011,Cashiers,4700,10.31,21440.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,353031,Waiters and Waitresses,3790,10.89,22659.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",2580,32.71,68032.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",2330,12.12,25224.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,111021,General and Operations Managers,2290,50.32,104658.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,291141,Registered Nurses,2020,45.25,94114.00,Bachelor's degree,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,399021,Personal Care Aides,1860,11.13,23148.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,435081,Stock Clerks and Order Fillers,1800,11.60,24131.00,No formal educational credential,None,Short-term on-the-job training
County,San Diego County,2014-2024,253098,Substitute Teachers,2690,17.65,36725.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,439061,"Office Clerks, General",1740,16.02,33300.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,1690,13.02,27094.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,1440,12.85,26727.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,352014,"Cooks, Restaurant",1410,12.59,26187.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,259041,Teacher Assistants,1390,,32626.00,"Some college, no degree",None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,1370,18.77,39039.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1310,13.80,28695.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1270,9.80,20395.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,434051,Customer Service Representatives,1250,17.36,36094.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,319092,Medical Assistants,1240,16.97,35293.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,399011,Childcare Workers,1210,11.87,24688.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,472061,Construction Laborers,1180,17.94,37312.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1120,30.51,63462.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2014-2024,291141,Registered Nurses,6190,63.64,132361.00,Bachelor's degree,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",1080,,73490.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,1060,9.71,20191.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,352021,Food Preparation Workers,1050,10.79,22444.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,1050,26.86,55865.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,434171,Receptionists and Information Clerks,1050,15.13,31468.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1050,18.50,38488.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,472031,Carpenters,1010,23.66,49214.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,132011,Accountants and Auditors,1000,36.33,75564.00,Bachelor's degree,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,359021,Dishwashers,940,9.58,19915.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",930,9.50,19773.00,No formal educational credential,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,253098,Substitute Teachers,850,18.70,38896.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,499071,"Maintenance and Repair Workers, General",850,19.79,41162.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,352011,"Cooks, Fast Food",750,9.64,20038.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,131161,Market Research Analysts and Marketing Specialists,720,35.63,74121.00,Bachelor's degree,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,720,15.63,32508.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,537064,"Packers and Packagers, Hand",680,10.46,21760.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",660,,75417.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,353011,Bartenders,660,10.34,21516.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,311014,Nursing Assistants,650,13.36,27778.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,537061,Cleaners of Vehicles and Equipment,650,10.15,21118.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,630,25.74,53535.00,Postsecondary non-degree award,None,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,493023,Automotive Service Technicians and Mechanics,630,18.08,37612.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,311011,Home Health Aides,620,11.61,24147.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,620,20.80,43265.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,119051,Food Service Managers,600,24.00,49919.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2014-2024,372012,Maids and Housekeeping Cleaners,600,10.87,22618.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,399021,Personal Care Aides,1330,10.22,21241.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,412031,Retail Salespersons,1100,10.66,22178.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,412011,Cashiers,1090,10.06,20915.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",830,10.53,21924.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Redding MSA,2014-2024,291141,Registered Nurses,660,45.12,93861.00,Bachelor's degree,None,None
Metropolitan Area,Redding MSA,2014-2024,353031,Waiters and Waitresses,560,9.65,20058.00,No formal educational credential,None,Short-term on-the-job training
